Período: 20261;Emitido em: 11/02/2026 23:50 h; Data da última atualização: 11/02/2026 19:50h;
Critérios da busca: 
Não foi especificado nenhum critério de busca
Disciplina;Nome da disciplina;Professor;Créd;Turma;Destino;Vag;Turno;Horário/Sala;Horas a Distância;SHF;Horas de extensão;Pré-Req;Depto;
ADM1112; INTEGRADORA PA2 (ESTAG SUPERV) ;MILA DESOUZART DE AQUINO VIANA;4;2GA;QQC;12;I;TER 09-11   QUI 09-11   ;0;1;0; SIM ;ADM;
ADM1112; INTEGRADORA PA2 (ESTAG SUPERV) ;EDMUNDO EUTROPIO COELHO DE SOUZA;4;2GB;QQC;11;I;TER 07-09   QUI 07-09   ;0;1;0; SIM ;ADM;
ADM1112; INTEGRADORA PA2 (ESTAG SUPERV) ;EDMUNDO EUTROPIO COELHO DE SOUZA;4;2GC;QQC;0;I;SEG 19-21   QUA 19-21   ;0;1;0; SIM ;ADM;
ADM1113; INTEGRADORA PA3 (ESTAG SUPERV) ;MILA DESOUZART DE AQUINO VIANA;4;2GA;QQC;11;I;TER 07-09   QUI 07-09   ;0;1;0; SIM ;ADM;
ADM1113; INTEGRADORA PA3 (ESTAG SUPERV) ;MILA DESOUZART DE AQUINO VIANA;4;2GB;QQC;0;I;TER 19-21   QUI 19-21   ;0;1;0; SIM ;ADM;
ADM1113; INTEGRADORA PA3 (ESTAG SUPERV) ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GC;QQC;13;I;TER 21-23   QUI 21-23   ;0;1;0; SIM ;ADM;
ADM1120; PROJETO GESTÃO INTEGRADO I ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GA;QQC;0;I;TER 07-09   QUI 07-09   ;0;0;60; SIM ;ADM;
ADM1120; PROJETO GESTÃO INTEGRADO I ;MILA DESOUZART DE AQUINO VIANA;4;2GB;QQC;3;I;TER 11-13   QUI 11-13   ;0;0;60; SIM ;ADM;
ADM1120; PROJETO GESTÃO INTEGRADO I ;JOAO RENATO DE SOUZA COELHO BENAZZI;4;2GC;QQC;11;I;TER 19-21   QUI 19-21   ;0;0;60; SIM ;ADM;
ADM1122; INTEGRADORA PE II (EST SUPERV) ;FRANCIS BERENGER MACHADO;4;2GA;QQC;10;I;TER 07-09   QUI 07-09   ;0;1;0; SIM ;ADM;
ADM1122; INTEGRADORA PE II (EST SUPERV) ;MARIA ISABEL PEIXOTO GUIMARAES;4;2GB;QQC;9;I;TER 19-21   QUI 19-21   ;0;1;0; SIM ;ADM;
ADM1122; INTEGRADORA PE II (EST SUPERV) ;JOAO RENATO DE SOUZA COELHO BENAZZI;4;2GC;QQC;9;I;TER 21-23   QUI 21-23   ;0;1;0; SIM ;ADM;
ADM1201; INTEGRADORA PE II ;FRANCIS BERENGER MACHADO;4;2GA;QQC;0;I;TER 07-09   QUI 07-09   ;0;0;0; SIM ;ADM;
ADM1201; INTEGRADORA PE II ;MARIA ISABEL PEIXOTO GUIMARAES;4;2GB;QQC;0;I;TER 19-21   QUI 19-21   ;0;0;0; SIM ;ADM;
ADM1201; INTEGRADORA PE II ;JOAO RENATO DE SOUZA COELHO BENAZZI;4;2GC;QQC;0;I;TER 21-23   QUI 21-23   ;0;0;0; SIM ;ADM;
ADM1241; RACIOCÍNIO LÓGICO ;ELIANA GIAMBIAGI;2;2GC;QQC;0;I;TER 21-23   ;0;0;0;NÃO;ADM;
ADM1243; RACIOCINIO LOGICO ;ANNA MARIA SOTERO DA SILVA NETO;2;2GA;QQC;0;I;QUA 09-11   ;0;0;0;NÃO;ADM;
ADM1265; ANÁLISE DESCRITIVA P/ NEGÓCIOS ;LEA MARA BENATTI ASSAID;4;2GA;QQC;0;I;TER 11-13   QUI 11-13   ;0;0;0; SIM ;ADM;
ADM1265; ANÁLISE DESCRITIVA P/ NEGÓCIOS ;LEA MARA BENATTI ASSAID;4;2GB;QQC;8;I;TER 07-09   QUI 07-09   ;0;0;0; SIM ;ADM;
ADM1265; ANÁLISE DESCRITIVA P/ NEGÓCIOS ;VERANISE JACUBOWSKI CORREIA DUBEUX;4;2GC;QQC;18;I;SEG 17-19   QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1278; ESTAT INFERENCIAL P NEGOCIOS ;LEA MARA BENATTI ASSAID;4;2GA;QQC;3;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1278; ESTAT INFERENCIAL P NEGOCIOS ;GLACIR DE OLIVEIRA GALIMBERTI ZAPATA;4;2GB;QQC;9;I;TER 07-09   QUI 07-09   ;0;0;0; SIM ;ADM;
ADM1278; ESTAT INFERENCIAL P NEGOCIOS ;VERANISE JACUBOWSKI CORREIA DUBEUX;4;2GC;QQC;2;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1295; PESQUISA OPERACIONAL EM ADM ;LEA MARA BENATTI ASSAID;4;2GA;QQC;0;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1295; PESQUISA OPERACIONAL EM ADM ;EVANDRO DA SILVEIRA GOULART;4;2GB;QQC;0;I;SEG 17-19   QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1310; PLANEJ FINANCEIRO E ORCAMENTO ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GA;QQC;5;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1317; FINANCAS COMPORTAMENTAIS ;MARCELO CABUS KLOTZLE;4;2GA;CCI;2;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1317; FINANCAS COMPORTAMENTAIS ;MARCELO CABUS KLOTZLE;4;2GA;QQC;0;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GB;CCI;1;I;TER 07-09   QUI 07-09   ;0;0;0;NÃO;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;HORISTA A CONTRATAR;4;2GA;QQC;2;I;SEG 09-11   QUA 09-11   ;0;0;0;NÃO;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GB;QQC;2;I;TER 07-09   QUI 07-09   ;0;0;0;NÃO;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GC;QQC;3;I;TER 17-19   QUI 17-19   ;0;0;0;NÃO;ADM;
ADM1326; ANÁLISE FINANCEIRA DE NEGÓCIOS ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GA;QQC;0;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
